szerzõ,cím,,,leltári_szám,vonalkód,,,ISBN_szám,beszerzés_dátuma,kiadás_éve,szállító
"Baud-Berthier, Gilles",Hétköznapi élet a kínai császárok korában 1368-1644,,,A-006829,1734126,,,9.79E+12,2008.12.12,2007,Marcal Könyvker. Text Book
"Balázs Éva, H.",Hétköznapi élet a Habsburgok korában 1740-1815,,,A-006844,1775334,,,9.79E+12,2008.12.12,2007,Marcal Könyvker. Text Book
Valuch Tibor,Hétköznapi élet Kádár János korában,,,A-006859,1775471,,,9.79E+12,2008.12.12,2007,Marcal Könyvker. Text Book
Tormay Cécile,A régi ház,,,A-006870,1775587,,,9.79E+12,2008.12.12,2008,Marcal Könyvker. Text Book
"James, Syrie",Jane Austen naplója : Regény,,,A-006882,1775648,,,9.79E+12,2008.12.12,2008,Marcal Könyvker. Text Book
"Russo, Richard",Sóhajok hídja,,,A-006894,1775792,,,9.79E+12,2008.12.12,2008,Marcal Könyvker. Text Book
"Stauber, Sabine",Az emberi test,,,A-006906,1926071,,,9.79E+12,2008.12.12,2008,Marcal Könyvker. Text Book
"Beutner, Tina",Építkezés,,,A-006925,1926255,,,9.79E+12,2008.12.12,2008,Marcal Könyvker. Text Book
"Stauber, Sabine",Dinoszauruszok,,,A-006944,1926453,,,9.79E+12,2008.12.12,2008,Marcal Könyvker. Text Book
Vujity Tvrtko,Fertõ : Óvjuk meg gyermekeinket!,,,A-006963,1927405,,,9.79E+12,2008.12.12,2008,Marcal Könyvker. Text Book
Vitray Tamás,Kiképzés,,,A-006982,1927573,,,9.79E+12,2008.12.12,2008,Marcal Könyvker. Text Book
"Boyne, John",A csíkos pizsamás fiú,,,A-007001,1927795,,,9.79E+12,2008.12.12,2007,Marcal Könyvker. Text Book
Marék Veronika,Öcsi és bátyó,,,A-007021,1928686,,,9.79E+12,2008.12.12,2008,Marcal Könyvker. Text Book
"Munro, Alice","Szeret, nem szeret: [kilenc történet]",,,A-007033,1927894,,,9635306032,2008.12.12,2006,Marcal Könyvker. Text Book
"Lawrence, Leslie L.",A lófejû démon : (Véres történet a Himalájából),,,A-007119/01,2160290,,,9.79E+12,2009.04.16,2008,Marcal Könyvker. Text Book
"Lawrence, Leslie L.",A lófejû démon : (Véres történet a Himalájából),,,A-007119/02,2160344,,,9.79E+12,2009.04.16,2008,Marcal Könyvker. Text Book
Fejõs Éva,Hotel Bali,,,A-007151,2161297,,,9.79E+12,2009.04.16,2008,Marcal Könyvker. Text Book
Fejõs Éva,"Bangkok, tranzit",,,A-007179,2163567,,,9.79E+12,2009.04.16,2008,Marcal Könyvker. Text Book
"Marti, Tatjana",Lovak és pónik,,,A-007240,2164410,,,9.79E+12,2009.04.16,2009,Marcal Könyvker. Text Book
"Manili, Paolo",Lovak,,,A-007279,2164106,,,9.79E+12,2009.04.16,2008,Marcal Könyvker. Text Book
Schäffer Erzsébet,Toronyiránt : Utak és emberek,,,A-007324,2172248,,,9.79E+12,2009.04.16,2008,Marcal Könyvker. Text Book
"Rice, Luanne",Holdsugár,,,A-007355,2171937,,,9.79E+12,2009.04.16,2009,Marcal Könyvker. Text Book
Sohonyai Edit,Le a pasikkal! : avagy velem nem stimmel valami?,,,A-007365,2171838,,,96311791413,2009.04.16,2006,Marcal Könyvker. Text Book
"Steel, Danielle",Az igazi,,,A-007381,2171739,,,9.79E+12,2009.04.16,2009,Marcal Könyvker. Text Book
"Leoni, Giulio",Dante és a halál mozaikja,,,A-007412,2160979,,,9.79E+12,2009.04.16,2008,Marcal Könyvker. Text Book
Friderikusz Sándor,Friderikusz-eddig : interjúkötet,,,A-007443,2160665,,,9.79E+12,2009.04.16,2008,Marcal Könyvker. Text Book
"Christie, Agatha",Függöny : Poirot utolsó esete,,,A-007474,2161655,,,9.79E+12,2009.04.16,2009,Marcal Könyvker. Text Book
"McCarthy, Cormac",Nem vénnek való vidék,,,A-007505,2161341,,,9.79E+12,2009.04.16,2008,Marcal Könyvker. Text Book
Sohonyai Edit,Jasmine avagy Mégis kell a szerelem?,,,A-007540,2162430,,,9631179869,2009.04.16,2005,Marcal Könyvker. Text Book
"Humphries, Christopher John",Természetbarátok zsebkönyve : Spotter's guide,,,A-007557,2162126,,,9.79E+12,2009.04.22,2009,Marcal Könyvker. Text Book
"Wood, Dorothy",Hétvégi kézmûvesség a természet kincseivel,,,A-007618,2162997,,,9638687746,2009.04.22,2006,Marcal Könyvker. Text Book
Bosnyák Viktória,A sirály a király?,,,A-007620,2162904,,,9639492744,2009.04.22,2006,Marcal Könyvker. Text Book
Bosnyák Viktória,Amikor kivirágzott a fánk fánk,,,A-007630,2162805,,,9.79E+12,2009.04.22,2007,Marcal Könyvker. Text Book
"Cavendish, Richard","1001 történelmi hely amit látnod kell, mielõtt meghalsz",,,A-007675,2192123,,,9.79E+12,2009.05.14,2008,Marcal Könyvker. Text Book
"Case, Frances","1001 étel amit meg kell kóstolnod, mielõtt meghalsz",,,A-007706,2189215,,,9.79E+12,2009.05.14,2009,Marcal Könyvker. Text Book
"Plain, Belva",Biztató szavak,,,A-007737,2188904,,,9.79E+12,2009.05.14,2009,Marcal Könyvker. Text Book
"Hart, John",Lenn a folyónál,,,A-007768,2189895,,,9.79E+12,2009.05.14,2009,Marcal Könyvker. Text Book
Szélesi Sándor,A beavatás szertartása,,,A-007799,2189581,,,9.79E+12,2009.05.14,2009,Marcal Könyvker. Text Book
Horgas Béla,Sétikáló,,,A-007830,2189277,,,9.79E+12,2009.05.14,2009,Marcal Könyvker. Text Book
"Munro, Alice","Asszonyok, lányok élete",,,A-007861,2196039,,,9.79E+12,2009.05.14,2009,Marcal Könyvker. Text Book
"Reider, Katja",Csikótörténetek,,,A-007892,2195001,,,9.79E+12,2009.05.14,2007,Marcal Könyvker. Text Book
Várkonyi Andrea,Elsõ lovas könyvem,,,A-007922,2207520,,,9.79E+12,2009.05.14,2007,Marcal Könyvker. Text Book
"Capote, Truman",Mozart és a kaméleonok,,,A-007953,2210025,,,9.79E+12,2009.05.14,2009,Marcal Könyvker. Text Book
"Picoult, Jodie",Szívtõl szívig,,,A-007984,2209715,,,9.79E+12,2009.05.14,2009,Marcal Könyvker. Text Book
Lázs Sándor,Útikalauz vesztegzár idejére : Újabb 21 történet a XXI. századból,,,A-008015,2209401,,,9.79E+12,2009.05.14,2009,Marcal Könyvker. Text Book
Molnár Krisztina Rita,Biblia : Ószövetség [hangoskönyv],,,A-008046,2210261,,,9631641597,2009.05.14,2007,Marcal Könyvker. Text Book
Molnár Krisztina Rita,Biblia : Újszövetség [hangoskönyv],,,A-008066,2210575,,,9631641600,2009.05.14,2007,Marcal Könyvker. Text Book
"Wood, Dorothy",Hétvégi kézmûvesség a természet kincseivel,,,A-008095,2211183,,,9638687746,2009.05.14,2006,Marcal Könyvker. Text Book
Csorba Emánuel,Apa és fia : A munkatábortól a tündérvilágig,,,A-008128,2211053,,,9.79E+12,2009.05.14,2009,Marcal Könyvker. Text Book
"Boxall, Peter","1001 könyv amit el kell olvasnod, mielõtt meghalsz",,,A-008135,2210803,,,9.79E+12,2009.06.04,2008,Kalligraf Könyvesbolt
"Steel, Danielle",A kör bezárul,,,A-008166,2211824,,,9632030664,2009.06.04,2002,Kalligraf Könyvesbolt
"Steel, Danielle",Baleset,,,A-008193,2211534,,,9632031261,2009.06.04,2005,Kalligraf Könyvesbolt
"Roberts, Nora",Egyszer volt...,,,A-008223,2211404,,,9.79E+12,2009.06.04,2009,Kalligraf Könyvesbolt
"Roberts, Nora",Lehull az álarc,,,A-008242,2212227,,,9.79E+12,2009.06.04,2009,Kalligraf Könyvesbolt
"Roberts, Nora",... hol nem volt,,,A-008273,2212517,,,9.79E+12,2009.06.04,2009,Kalligraf Könyvesbolt
"Putney, Mary Jo",Fortuna lánya,,,A-008284,2482316,,,9.79E+12,2009.06.04,2009,Kalligraf Könyvesbolt
"Garwood, Julie",Árnyékzene,,,A-008315,2482194,,,9.79E+12,2009.06.04,2009,Kalligraf Könyvesbolt
"Sjouwerman, Vic",A Hattyúhercegnõ : Mese Szaltán cárról,,,A-008333,2481890,,,9636280630,2009.05.27,2004,Kalligraf Könyvesbolt
Suga Péter,Az étel és bor harmóniája : hat neves borászat közremûködésével és bemutatásával,,,A-008351,2482941,,,9.79E+12,2009.05.27,2008,Kalligraf Könyvesbolt
"Vachaud, Laurent",Kémnõk,,,A-008392,2483221,,,9.79E+12,2009.06.04,2009,Kalligraf Könyvesbolt
"Delinsky, Barbara",Amíg a nõvérem alszik,,,A-008423,2483535,,,9.79E+12,2009.06.04,2009,Kalligraf Könyvesbolt
Vámos Miklós,Anya csak egy van,,,A-008454,2482538,,,9637853391,2009.06.04,2006,Kalligraf Könyvesbolt
"Follett, Ken",A harmadik iker,,,A-008484,2447810,,,9.79E+12,2009.06.04,2009,Kalligraf Könyvesbolt
"Follett, Ken",Teherán,,,A-008515,2447506,,,9.79E+12,2009.06.04,2009,Kalligraf Könyvesbolt
"Fable, Vavyan",Mennybõl a csontváz,,,A-008546,2370507,,,9.79E+12,2009.06.04,2009,Kalligraf Könyvesbolt
"Dietrich, William",A rosette-i kõ,,,A-008577,2370194,,,9.79E+12,2009.06.04,2008,Kalligraf Könyvesbolt
,"Tavaszváró kézmûves ajándékok : 25 elragadó tárgy : nyuszik, csirkék, bárányok és más tavaszváró...",,,A-008608,2370873,,,9.79E+12,2009.06.04,2006,Kalligraf Könyvesbolt
"Eco, Umberto",Baudolino,,,A-008639,2371177,,,9.79E+12,2009.06.04,2009,Kalligraf Könyvesbolt
"Block, Lawrence","A betörõ, akit temetni veszélyes",,,A-008675,2370668,,,9.79E+12,2009.06.02,2009,Kalligraf Könyvesbolt
Kovács Zsolt,Üvegfestés : Minták gyerekszobába,,,A-008681,2448404,,,9639666300,2009.06.02,2006,Kalligraf Könyvesbolt
Pátkai Tivadar,A kõrisfa árnyéka,,,A-008738,2338484,,,9.79E+12,2009.06.03,2008,Hazánk Könyvkiadó Kft
"Smith, Wilbur",A nap diadala,,,A-008769,2448022,,,9639124478,2009.06.02,2005,Kalligraf Könyvesbolt
"Holt, Victoria",Út a vesztõhelyre,,,A-008800,2483955,,,9.79E+12,2009.06.02,2009,Kalligraf Könyvesbolt
Lackfi János,Apám kakasa : Változatok klasszikus magyar gyerekversekre,,,A-008907,2417240,,,9.79E+12,2009.08.27,2009,Kalligraf Könyvesbolt
Fejõs Éva,Csajok,,,A-008938,2416267,,,9.79E+12,2009.08.27,2009,Kalligraf Könyvesbolt
"Michaels, Fern",Vegas saga : Celia Connors házassága,,,A-008968,2416786,,,9.79E+12,2009.08.27,2009,Kalligraf Könyvesbolt
Bartos Erika,Bogyó és Babóca ünnepel : Sün Soma születésnapja ; A bicikli,,,A-008998,2584294,,,9.79E+12,2009.08.27,2009,Kalligraf Könyvesbolt
Nádasdy Borbála,A szabadság zaga,,,A-009028,2583976,,,9.79E+12,2009.08.27,2009,Kalligraf Könyvesbolt
Ungvári Tamás,A feledés enciklopédiája,,,A-009059,2584973,,,9.79E+12,2009.08.27,2009,Kalligraf Könyvesbolt
"Coelho, Paulo",A gyõztes egyedül van,,,A-009090,2519913,,,9.79E+12,2009.09.04,2009,Kalligraf Könyvesbolt
"Meyer, Stephenie",Twilight = Alkonyat,,,A-009120,2519579,,,9.79E+12,2009.09.04,2009,Kalligraf Könyvesbolt
"Meyer, Stephenie",New moon = Újhold,,,A-009149,2587530,,,9.79E+12,2009.09.04,2009,Kalligraf Könyvesbolt
"Christie, Agatha",A fogorvos széke,,,A-009179,2587417,,,9.79E+12,2009.09.04,2009,Kalligraf Könyvesbolt
"Roberts, Nora",Rémes otthon,,,A-009214,2585628,,,9.79E+12,2009.09.07,2009,Kalligraf Könyvesbolt
"Sasson, Jean P.",Szerelem a terror árnyékában : a kurdisztáni Joanna igaz története : hogyan menekült meg egy kurd szabadságharcos az irakiak bosszujától?,,,A-009245,2585314,,,9.79E+12,2009.09.07,2008,Kalligraf Könyvesbolt
"Sasson, Jean P.","Irak lánya, Majada : Egy asszony, aki túlélte Szaddám Huszein uralmát",,,A-009276,2417844,,,9639526738,2009.09.07,2004,Kalligraf Könyvesbolt
"Roberts, Nora",Pogánykõ : Völgy-trilógia 3,,,A-009346,2418391,,,9.79E+12,2009.09.18,2009,Kalligraf Könyvesbolt
"Archer, Jeffrey",Becsületbeli ügy,,,A-009375,2418087,,,9.79E+12,2009.09.18,2009,Kalligraf Könyvesbolt
"Roberts, Nora",Vértestvérek : Völgy-trilógia 1,,,A-009406,2631738,,,9.79E+12,2009.09.18,2009,Kalligraf Könyvesbolt
Fenákel Judit,Sefüle,,,A-009437,2631424,,,9.79E+12,2009.09.18,2007,Kalligraf Könyvesbolt
Berg Judit,Rumini és a négy jogar,,,A-009466,2632582,,,9.79E+12,2009.09.18,2009,Kalligraf Könyvesbolt
Hámor Vilmos,Pepitatestû Gombóc kaladjai : Napközben is olvasható esti mese,,,A-009481,2633923,,,9.79E+12,2009.10.12,2009,Hámor Vilmos egyéni vállalkozó
Hámor Vilmos,"Mosolyszür(n)et : Hámorgásokkal itt-ott : Vidám, gondûzõ, búfeledtetõ, elgondolkodtató és szíveket megérintõ történetek Hámor Vilmos gyûjtésébõl",,,A-009513,2633633,,,9.79E+12,2009.10.12,2009,Hámor Vilmos egyéni vállalkozó
Mikszáth Kálmán,Mikszáth Kálmán meséi,,,A-009544,2419121,,,9.79E+12,2009.10.19,2008,Szív Barát Gyermekalapítvány
Kerekesné Huszár Mária,Mama mesék : Mesés finomságok,,,A-009574,2633459,,,9632146344,2009.10.19,2005,Szív Barát Gyermekalapítvány
Schäffer Erzsébet,Lábujjhegyen : Történetek útközben,,,A-009639,2418841,,,9638676973,2009.10.16,2006,Kalligraf Könyvesbolt
"Meyer, Stephenie",Eclipse : Napfogyatkozás,,,A-009668,2589749,,,9.79E+12,2009.11.04,2009,Kalligraf Könyvesbolt
"Young, William Paul",A viskó,,,A-009753,2775302,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Lawrence, Leslie L.",A fekete özvegy,,,A-009782/01,2589961,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Lawrence, Leslie L.",A fekete özvegy,,,A-009782/02,2589978,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Steel, Danielle",Eljön az a nap,,,A-009809,2776613,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Hardy, Thomas",A kék szempár,,,A-009831,2776835,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Michaels, Fern",Vegas saga : Nealy Coleman igazsága,,,A-009853,2775159,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Stilton, Geronimo",Az igazi úriegér,,,A-009885,2777160,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Pilcher, Rosamunde",A kék hálószoba,,,A-009908,2777405,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Cornwell, Bernard","Sharpe haragja : Richard Sharpe és a barrosai csata, 1811 márciusa",,,A-009932,2777566,,,9.79E+12,2009.11.28,2008,Kalligraf Könyvesbolt
"Bromfield, Louis",Éjszaka Bombayben,,,A-009948,2776354,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Cornwell, Bernard","Sharpe kardja : Richard Sharpe és a salamancai hadjárat, 1812. június-július",,,A-009960,2777658,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
Telegdi Ágnes,"Téli ünnepkör : Kreatív ötletek, hasznos tanácsok Márton-naptól farsangig",,,A-009976,2777771,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Goyer, Katell",Hercegnõk a nagyvilágból : Világ körüli utazás a legeslegszebb hercegnõk társaságában...,,,A-009988,2778020,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"De Cesco, Federica",Tibet lánya,,,A-010014,2778235,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"McNaught, Judith",Édes gyõzelem,,,A-010037,2778518,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Furtado, Peter",1001 nap amely átformálta a világot,,,A-010060,2778785,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Cabot, Meg",Allie Finkle szabályai kezdõ tiniknek : Második könyv : Az új lány,,,A-010091,2781624,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
Berg Judit,Cipelõ cicák a hátizsákban,,,A-010097,2781662,,,9.79E+12,2009.11.28,2008,Kalligraf Könyvesbolt
Fejõs Éva,Eper reggelire,,,A-010104,2781884,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"O'Flanagan, Sheila",Szerelemben nincs barátság,,,A-010123,2781921,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Coelho, Paulo",Az alkimista,,,A-010135,2778280,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Coelho, Paulo",Az ördög és Prym kisasszony,,,A-010155,2783369,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Coelho, Paulo",A fény harcosának kézikönyve,,,A-010182,2782331,,,9.79E+12,2009.11.28,2008,Kalligraf Könyvesbolt
Tóth Zita,"Filc, a zoknimuki",,,A-010208,2782799,,,9.79E+12,2009.11.28,2009,Kalligraf Könyvesbolt
"Rusher, Josie",Robert Pattinson : A Twilight sztárja : Az igaz szerelem örök,,,A-010288,2783093,,,9.79E+12,2009.12.03,2009,Kalligraf Könyvesbolt
Balogh Zsolt,Szívünk hungarikumai,,,A-010314,2783604,,,9.79E+12,2009.12.03,2009,Kalligraf Könyvesbolt
"Cook, Robin",Idegen test,,,A-010384,2784403,,,9.79E+12,2009.12.03,2009,Kalligraf Könyvesbolt
"Bondoux, Anne-Laure",A princetta és a kapitány,,,A-010411,2784670,,,9639563730,2009.12.03,2005,Kalligraf Könyvesbolt
"Naylor, Phyllis Reynolds",Tappancs kalandjai,,,A-010436,2785127,,,9636285497,2009.12.09,2008,Kalligraf Könyvesbolt
"Cabot, Meg",Allie Finkle szabályai kezdõ tiniknek : Elsõ könyv : A költözés napja,,,A-010472,2785448,,,9.79E+12,2009.12.14,2008,Kalligraf Könyvesbolt
"Naylor, Phyllis Reynolds",Tappancs megmentése,,,A-010493,2785653,,,9636284865,2009.12.14,2008,Kalligraf Könyvesbolt
"Naylor, Phyllis Reynolds",Tappancs veszélyben,,,A-010517,2785899,,,9636284660,2009.12.14,2007,Kalligraf Könyvesbolt
Tolvaly Ferenc,40 nap lélekúton: (napló),,,A-010580,2751740,,,9.79E+12,2010.03.20,2010,Kalligraf Könyvesbolt
"Denizeau, Gérard",A zenei mûfajok képes enciklopédiája : Újszerû zenetörténet,,,A-010666,2590592,,,9.79E+12,2010.03.27,2009,Kalligraf Könyvesbolt
Réz András,Orr,,,A-010696,2591469,,,9.79E+12,2010.03.27,2009,Kalligraf Könyvesbolt
Bangó Margit,"Határtalan lakoma : Tradicionális magyar, roma és erdélyi ételek",,,A-010727,2592275,,,9.79E+12,2010.03.27,2009,Kalligraf Könyvesbolt
"Roberts, Nora",Hawkins-völgy : [[Völgy-trilógia 2],,,A-010760,2591957,,,9.79E+12,2010.03.27,2009,Kalligraf Könyvesbolt
Donászy Magda,Cinkeház,,,A-010822,2909790,,,9.79E+12,2010.03.24,2010,Kalligraf Könyvesbolt
"Indriðason, Arnaldur",Távoli hangok : Skandináv krimik,,,A-010853,2912677,,,9.79E+12,2010.03.24,2008,Kalligraf Könyvesbolt
Wass Albert,Nagy novelláskönyv,,,A-010883,2912363,,,9.79E+12,2010.03.31,2009,Kalligraf Könyvesbolt
Edelényi Adél,Népi kultúra : Néprajzi alapismeretek,,,A-010913,2913353,,,9.79E+12,2010.03.31,2009,Kalligraf Könyvesbolt
"Gavalda, Anna",Vigaszág,,,A-010947,2971025,,,9.79E+12,2010.04.17,2009,Kalligraf Könyvesbolt
"Zdral, Wolfgang",A Hitlerek,,,A-010973,2970752,,,9.79E+12,2010.04.17,2009,Kalligraf Könyvesbolt
"Brown, Dan",Az elveszett jelkép,,,A-011002,2971766,,,9.79E+12,2010.04.17,2009,Kalligraf Könyvesbolt
Böszörményi Gyula,Rontásûzõk 1 : Az idõkút,,,A-011033,2974774,,,9.79E+12,2010.04.21,2009,Kalligraf Könyvesbolt
Wass Albert,A kastély árnyékában,,,A-011063,2975078,,,9639195987,2010.04.21,2002,Kalligraf Könyvesbolt
Gulácsy Irén,Förgeteg,,,A-011090,2971452,,,9.79E+12,2010.04.21,2009,Kalligraf Könyvesbolt
Wass Albert,Tavaszébresztõ cinege,,,A-011120,2976242,,,9.79E+12,2010.04.21,2010,Kalligraf Könyvesbolt
Nagy Bandó András,A világjáró kiscsikó,,,A-011148,2975221,,,9.79E+12,2010.04.21,2010,Kalligraf Könyvesbolt
"Helgerson, Joseph",Három troll meg a hold,,,A-011178,2975528,,,9.79E+12,2010.04.21,2009,Kalligraf Könyvesbolt
Polcz Alaine,Befejezhetetlen : Könyv a szerelemrõl,,,A-011206,2975801,,,9.79E+12,2010.04.21,2009,Kalligraf Könyvesbolt
Jókai Anna,Breviárium,,,A-011232,2978314,,,9637486038,2010.04.21,2006,Kalligraf Könyvesbolt
"Webb, Holly",Cica az erdõben,,,A-011260,2977294,,,9.79E+12,2010.04.21,2009,Kalligraf Könyvesbolt
"Webb, Holly",Cica a hóban,,,A-011290,2977591,,,9.79E+12,2010.04.21,2009,Kalligraf Könyvesbolt
"Hallberg, Lin","Gyerünk, Szigge!",,,A-011320,2975948,,,9.79E+12,2010.04.21,2010,Kalligraf Könyvesbolt
"Steel, Danielle",Veszélyes szerelem,,,A-011351,2981284,,,9.79E+12,2010.04.21,2010,Kalligraf Könyvesbolt
"Webb, Holly",A magányos kiskutya,,,A-011381,2982281,,,9.79E+12,2010.04.21,2009,Kalligraf Könyvesbolt
"Finder, Joseph",Titkos kapcsolat,,,A-011411,2981598,,,9.79E+12,2010.04.21,2010,Kalligraf Könyvesbolt
"Frey, Jana",Kutyás történetek,,,A-011438,2977966,,,9.79E+12,2010.04.21,2007,Kalligraf Könyvesbolt
Réz András,Köldök,,,A-011468,2982717,,,9.79E+12,2010.04.21,2009,Kalligraf Könyvesbolt
"Cabot, Meg",Airhead : Ki vagyok?,,,A-011494,2982977,,,9.79E+12,2010.04.21,2010,Kalligraf Könyvesbolt
"McCarthy, Cormac",Az út,,,A-011525,2981987,,,9.79E+12,2010.04.21,2010,Kalligraf Könyvesbolt
Nemeskürty István,"Mi, magyarok : Történelmünk ezerszáz éve",,,A-011555,2983158,,,9630584077,2010.04.23,2006,Kalligraf Könyvesbolt
"Christian,  A. J.",A nõkkel csak a baj van?,,,A-011583,2983424,,,9.79E+12,2010.04.23,2009,Kalligraf Könyvesbolt
Tormay Cécile,Bujdosó könyv : Képmelléklettel,,,A-011612,2982410,,,9.79E+12,2010.04.23,2009,Kalligraf Könyvesbolt
"Goudge, Elizabeth",Holdhercegnõ,,,A-011643,2987835,,,9.79E+12,2010.04.23,2009,Kalligraf Könyvesbolt
Tamási Áron,"Emberi szavak : Beszélgetések, vallomások, naplójegyzetek",,,A-011673,2984223,,,9639487236,2010.04.23,2003,Kalligraf Könyvesbolt
Kós Károly,Kidõlt a kereszt,,,A-011699,2987651,,,9.79E+12,2010.04.23,2009,Kalligraf Könyvesbolt
Tormay Cécile,Találkozás alkonyatkor,,,A-011726,2988108,,,9.79E+12,2010.04.28,2009,Kalligraf Könyvesbolt
Csernus Imre,Sors és önismeret : Belsõ erõforrásaink felfedezése,,,A-011756,2988023,,,9.79E+12,2010.04.28,2010,Kalligraf Könyvesbolt
Siró Béla,Királygyilkosságok a magyar történelembõl,,,A-011794,2987484,,,9.79E+12,2010.04.30,2010,Szív Barát Gyermekalapítvány
Bartal Csaba,Kronológia : Kezdetek-1870,,,A-011854,3060988,,,9630566117,2010.05.05,2006,Kalligraf Könyvesbolt
Bartal Csaba,Kronológia : Kezdetek-1870,,,A-011884,3060681,,,9630566117,2010.05.05,2006,Kalligraf Könyvesbolt
"Meyer, Stephenie",Breaking dawn = Hajnalhasadás,,,A-011915,3060384,,,9.79E+12,2010.06.13,2010,Kalligraf Könyvesbolt
Fejõs Éva,A mexikói,,,A-011946,2976617,,,9.79E+12,2010.08.17,2010,Kalligraf Könyvesbolt
Vass Virág,Franciadrazsé,,,A-011976,2976907,,,9.79E+12,2010.08.17,2010,Kalligraf Könyvesbolt
Rácz Zsuzsa,Nesze Neked Terézanyu!,,,A-012006,2972213,,,9.79E+12,2010.08.17,2009,Kalligraf Könyvesbolt
Nádasdy Borbála,Maradni zabad!,,,A-012056,2972916,,,9.79E+12,2010.08.17,2010,Kalligraf Könyvesbolt
"Santos, José Rodrigues dos",Az isteni formula,,,A-012087,2973227,,,9.79E+12,2010.08.17,2010,Kalligraf Könyvesbolt
"Smith, Lisa Jane",Vámpírnaplók 3. : Tombolás,,,A-012116,3061152,,,9.79E+12,2010.08.17,2010,Kalligraf Könyvesbolt
Vámos Miklós,Kedves kollégák I-II.,,,A-012139/01,3061381,,,9.79E+12,2010.08.17,2010,Kalligraf Könyvesbolt
Vámos Miklós,Kedves kollégák I-II.,,,A-012139/02,3061398,,,9.79E+12,2010.08.17,2010,Kalligraf Könyvesbolt
"Silva, Daniel",A Moszad ügynöke a Vatikánban,,,A-012256,3062630,,,9.79E+12,2010.08.17,2010,Kalligraf Könyvesbolt
Bosnyák Viktória,"Mantyusok : Bátorság, Tomi!",,,A-012280,3065907,,,9.79E+12,2010.08.17,2010,Kalligraf Könyvesbolt
Csukás István,A nagy Ho-ho-ho horgász nyáron,,,A-012287,3065976,,,9.79E+12,2010.08.17,2010,Kalligraf Könyvesbolt
Benedek Elek,Gyöngyvirág Palkó,,,A-012301,3066119,,,9.79E+12,2010.08.17,2010,Kalligraf Könyvesbolt
"Fietzek, Petra","Flóri, a gólkirály",,,A-012308,3066188,,,9.79E+12,2010.08.17,2010,Kalligraf Könyvesbolt
"Fischer-Hunold, Alexandra",Lánytörténetek,,,A-012315,3062357,,,9.79E+12,2010.08.17,2008,Kalligraf Könyvesbolt
"Schubert, Ulli",Focitörténetek,,,A-012329,3062494,,,9637461124,2010.08.17,2006,Kalligraf Könyvesbolt
Sohonyai Edit,Mocsok Csillag,,,A-012343,3065587,,,9.79E+12,2010.08.17,2008,Kalligraf Könyvesbolt
Zelk Zoltán,Kiskedden,,,A-012395,3295168,,,9.79E+12,2010.08.17,2010,Kalligraf Könyvesbolt
"Fombelle, Timothée de",Ágrólszakadt Tóbiás : 1. köt.: A számkivetett,,,A-012403,3295434,,,9.79E+12,2010.08.17,2008,Kalligraf Könyvesbolt
"Treben, Maria",Egészséges táplálkozás gyógynövényekkel : Megelõzés - felismerés - gyógyítás,,,A-012451,3065075,,,9.79E+12,2010.08.26,É.N.,Kalligraf Könyvesbolt
"Berry, Steve",A templomosok öröksége,,,A-012487,3064948,,,9.79E+12,2010.08.26,2010,Kalligraf Könyvesbolt
"Roberts, Nora",Képmutatók : [egy kép - egy hang],,,A-012497,3064085,,,9.79E+12,2010.08.26,2010,Kalligraf Könyvesbolt
"Roberts, Nora",Az éj leple alatt : [egy kép - egy hang],,,A-012505,3064177,,,9.79E+12,2010.08.26,2010,Kalligraf Könyvesbolt
"Connolly, John",A fekete angyal,,,A-012520,3299418,,,9.79E+12,2010.08.26,2010,Kalligraf Könyvesbolt
Nógrádi Gábor,Marci öröksége,,,A-012552,3063811,,,9.79E+12,2010.08.26,2007,Kalligraf Könyvesbolt
Kiss Attila,Altináj,,,A-012566,3063927,,,9631181790,2010.08.26,2006,Kalligraf Könyvesbolt
