szerzõ,cím,,,leltári_szám,vonalkód,,,ISBN_szám,beszerzés_dátuma,kiadás_éve,szállító
Öveges József,"Kis fizika : Erõk és mozgások, hangok, fénytan, hõtan",,,2-000333,2876467,,,,    .  .  ,1953,???
Öveges József,A legújabb kor fizikája,,,2-000334,2876412,,,,    .  .  ,1951,???
Szabó István,A konyhakerti termények korszerû termesztése,,,2-000358,2877372,,,,    .  .  ,1946,???
Dienes András,A legendák Petõfije : Táj és emlékezés,,,2-000372,2875088,,,,    .  .  ,1957,???
Bónis György,István király,,,2-000384,2884608,,,,    .  .  ,1956,???
"Balázs Éva, H.","Mátyás a kortársak között : Írások, levelek",,,2-000385,2883939,,,,    .  .  ,1957,???
"Rothmayer, Rolf","Rakéta, szputnyik, ûrhajó : 1000 kérdés és 1000 felelet",,,2-000390,2877587,,,,    .  .  ,1959,???
Móricz Zsigmond,Móricz Zsigmond indulása,,,2-000396,2880891,,,,    .  .  ,1959,???
Karinthy Frigyes,Kötéltánc,,,2-000443,2859132,,,,    .  .  ,1958,???
Móra Ferenc,Mindenki Jánoskája ; Kincskeresõ kisködmön,,,2-000462,2862149,,,,    .  .  ,1959,???
Móra Ferenc,Georgikon ; Nádi hegedû,,,2-000463,2862651,,,,    .  .  ,1959,???
Takáts Gyula,Színház az ezüst kancsóban,,,2-000489,2867755,,,,    .  .  ,1957,???
Tersánszky J. Jenõ,A félbolond,,,2-000493,2867786,,,,    .  .  ,1957,???
"Zola, Émile",Párizs gyomra,,,2-000517,2869254,,,,    .  .  ,1959,???
"Lambert, Angeli",Zöldségtermesztés,,,2-000534,2877563,,,,    .  .  ,1959,???
Kocsis Ferenc,"""Csodálatos"" élõvilág ?",,,2-000536,2876733,,,,    .  .  ,1961,???
Takács Tibor,Móra igazgató úr : Kotormány János emlékei Móra Ferencrõl,,,2-000551,2880952,,,,    .  .  ,1961,???
Wessely László,Mi orosz elbeszélõk,,,2-000554,2860909,,,,    .  .  ,1960,???
Szokoly Endre,"""..."" és Gombos Gyula a kapitány",,,2-000565,2883694,,,,    .  .  ,1960,???
"Rothmayer, Rolf","Rakéta, szputnyik, ûrhajó : 1000 kérdés és 1000 felelet",,,2-000567,2877631,,,,    .  .  ,1959,???
Tamási Áron,Szirom és Boly,,,2-000584,2867403,,,,    .  .  ,1960,???
Németh László,Sajkódi esték,,,2-000585,2864211,,,,    .  .  ,1961,???
Herman Ottó,A madarak hasznáról és káráról,,,2-000606,2876948,,,,    .  .  ,1960,???
Móricz Zsigmond,Mese a zöld füvön,,,2-000610,2864204,,,,    .  .  ,1960,???
Csányi László,Ünnepeink : mûsorfüzet az általános iskolák számára,,,2-000618,2865072,,,,    .  .  ,1961,???
"Defoe, Daniel",Robinson,,,2-000636,2854779,,,,    .  .  ,1970,???
Baktay Ervin,Kõrösi Csoma Sándor,,,2-000644,2881317,,,,    .  .  ,1962,???
Ráth-Végh István,Az emberi butaság,,,2-000655,2881751,,,,    .  .  ,1962,???
Váci Mihály,Mindenütt otthon,,,2-000689,2868097,,,,    .  .  ,1962,???
Ticsénszky Marianna,Virág a házban és a ház körül,,,2-000702,2877518,,,,    .  .  ,1961,???
"Gagarin, Jurij",Utazás a világûrben : Az elsõ ûrhajós pilóta feljegyzései,,,2-000706,2882239,,,,    .  .  ,1962,???
"Lem, Stanislaw",Magellán-felhõ,,,2-000711,2860534,,,,    .  .  ,1963,???
Móra Ferenc,Daru utcától a Móra Ferenc utcáig,,,2-000723,2862705,,,,    .  .  ,1962,???
Jókai Mór,Hétköznapok,,,2-000736,2858333,,,,    .  .  ,1962,???
"Laxness, Halldór Kiljan",Az éneklõ hal,,,2-000740,2860299,,,,    .  .  ,1962,???
"Maurois, André",Fleming és a penicillin regénye,,,2-000742,2860817,,,,    .  .  ,1962,???
