szerzõ,cím,leltári szám,vonalkód,ISBN szám,beszerzési dátum,kiadási év,szállító,dokumentum típus,statisztikai besorolás
Németh Pál,Gyógyító Szentek,A-019762,3685532,9.78964E+12,2012.11.17,2010,Könyvtér Kft.,könyv,???
"Willocks, Tim",A lovagrend,A-019788,3519349,9.78964E+12,2012.11.17,2008,Könyvtér Kft.,könyv,???
"Dorth, Diana",Szamira végzete,A-019814,3519806,9.78963E+12,2012.11.17,2012,Könyvtér Kft.,könyv,???
"Stilton, Geronimo",Visszatérés a Fukar erõdbe,A-019866,3520451,9.78963E+12,2012.11.17,2012,Könyvtér Kft.,könyv,???
Nagy Éva,Kacor király : Csalafinta magyar népmesék,A-019892,3685082,9.78964E+12,2012.11.17,2012,Könyvtér Kft.,könyv,???
Nagy Éva,A róka meg a gólya : Aesopus tanulságos állatmeséi,A-019918,3686133,9.78964E+12,2012.11.17,2011,Könyvtér Kft.,könyv,???
"Harris, Nicholas",Egy dinó-szafari naplója,A-019944,3685822,9.78616E+12,2012.11.17,2012,Könyvtér Kft.,könyv,???
"Harris, Nicholas",Egy sírrablás naplója,A-019970,3686959,9.78616E+12,2012.11.17,2012,Könyvtér Kft.,könyv,???
"Lawrence, Leslie L.",A játék rabszolgái : Hajsza Robert McKinley után,A-019996/01,3692615,9.78616E+12,2012.12.02,2012,Könyvtér Kft.,könyv,???
"Lawrence, Leslie L.",A játék rabszolgái : Hajsza Robert McKinley után,A-019996/02,3692622,9.78616E+12,2012.12.02,2012,Könyvtér Kft.,könyv,???
Gratzer Gábor,"Bûnmegelõzési jó tanácsok : fiataloknak, felnõtteknek",A-020022,3611180,9.78964E+12,2012.12.02,2010,Könyvtér Kft.,könyv,???
Vujity Tvrtko,Pokoli történetek : A királynõ beszéde,A-020048,3692301,9.78963E+12,2012.12.02,2012,Könyvtér Kft.,könyv,???
"Rowling, Joanne Kathleen",Átmeneti üresedés,A-020074,3695838,9.78964E+12,2012.12.19,2012,Könyvtér Kft.,könyv,???
"James, Erika Leonard",A szabadság ötven árnyalata,A-020100,3694770,9.78963E+12,2012.12.19,2012,Könyvtér Kft.,könyv,???
Blue Jeans,Dalok Paulának,A-020126,3695562,9.78964E+12,2012.12.19,2012,Könyvtér Kft.,könyv,???
Horváth Gyõzõ,Rábaközi néphagyomány : gyûjtõútjaim gyöngyszemei,A-020151,3696538,9.78964E+12,2012.12.17,2012,Magyar Kultúra Kiadó Kft,könyv,???
"Steghaus-Kovac, Sabine","Hörcsögök, hódok és más rágcsálók",A-020303,3698280,9.78963E+12,2012.12.20,2012,Könyvtér Kft.,könyv,???
Dinnyés József,Dalaim negyvenöt éve : Dinnyés József versválogatása [elektronikus dokumentum],E-000345,3750650,,2013.06.11,2013,Dinnyés József,könyv,???
"Stilton, Geronimo",A bûzösen bûzlõ vulkán különös esete,E-000447,3752012,9.78963E+12,2013.07.19,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Bradford, Barbara Taylor",Kezdd velem újra az életed,E-000557,3751909,9.78963E+12,2013.07.19,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Christie, Agatha",Az Ackroyd-gyilkosság,E-000790,3857977,9.78963E+12,2013.08.09,2012,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Archer, Jeffrey",Apám bûne : Clifton-krónika (2. kötet),E-000997,3865781,9.78964E+12,2013.08.09,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Gregory, Philippa",A másik királynõ,E-001106,3855898,9.78963E+12,2013.08.09,2012,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Stilton, Geronimo",A névtelen múmia rejtélye,E-001308,3860076,9.78963E+12,2013.08.09,2012,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Boldizsár Ildikó,Meseterápia : mesék a gyógyításban és a mindennapokban,E-001419,3855324,9.78963E+12,2013.08.26,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Cabot, Meg",Alvilág,E-001856,3874653,9.78964E+12,2013.09.05,2012,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Downham, Jenny",Amíg élek,E-001860,3874615,9.78964E+12,2013.09.05,2012,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Hámor Vilmos,"Mosolyszür(n)et 4 : ...fuss el véle! : Vidám, búröptetõ, gondûzõ, elgondolkodtató, szíveket megérintõ történetek és morzsákok... ...hámorgásokkal",E-001881,3873939,9.78964E+12,2013.09.10,2013,Hámor Vilmos egyéni vállalkozó,könyv,???
"Colfer, Eoin",Artemis Fowl és Opália végzete,E-001973,3874509,9.78964E+12,2013.09.05,2012,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Nógrádi Gábor,"A gonosz hét napja  : [Légy jó, tesó!]",E-002006,3874158,9.78963E+12,2013.09.05,2012,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Szabó Magda,"Az a szép, fényes nap : Négy dráma",E-002030,3872901,9.78963E+13,2013.09.09,2008,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Beckett, Simon",A halál kémiája,E-002132,3871881,9.78964E+12,2013.09.09,2006,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Owen, Mark",A Bin Laden-akció : így végeztük ki a terroristavezért - a kommandós beszámolója,E-002234,3875308,9.78964E+12,2013.09.09,2012,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Culshaw, Peter",Clandestino : Manu Chao nyomában,E-002336,3878521,9.78964E+12,2013.09.10,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Szolzsenyicin, Alekszandr","A GULAG szigetvilág, 1918-1956  : szépirodalmi tanulmánykísérlet : rövidített változat",E-002392,3876541,9.78963E+12,2013.09.09,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Marék Veronika,Boribon cicája,E-002540,3878569,9.78616E+12,2013.09.10,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Rogers, Anthony",Churchill baklövése : Lérosz és az Égei-tenger : a második világháború utolsó jelentõs brit veresége,E-002642,3880401,9.78963E+12,2013.09.10,2008,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Schönthal, Sandra",Békakirályok : hányfélék a pasik?,E-002744,3884577,9.78963E+12,2013.09.10,2012,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Parsons, Tony",Fiúkból lesznek a férfiak,E-002846,3877425,9.78963E+12,2013.09.11,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
,Gyilkos könyv : regény (feltehetõleg),E-002948,3885918,9.78963E+12,2013.09.11,2009,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Watterson, Lynne","Csipkekötés : az egyszerû, érthetõ leírások és leszámolható ábrák alapján könnyen elsajátíthatjuk a csipkekötést",E-003049,3886915,9.78963E+12,2013.09.11,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Tóth Kriszta, D.","Jöttem, hadd lássalak",E-003086,3887394,9.78616E+12,2013.09.15,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Clements, Rory",Herceg,E-003184,3888216,9.78616E+12,2013.09.15,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Evangelisti, Valerio","Indulj, inkvizítor!   : [Eymerich-sorozat nyitó kötete]",E-003246,3888902,9.78616E+12,2013.09.15,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Shugaar, Antony","Kémsztorik : hírhedt kémek, híres ügynökök",E-003342,3861677,9.78616E+12,2013.09.25,2012,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Vermes, Timur",Nézd ki van itt,E-003462,3889688,9.78963E+12,2013.09.25,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Regan, Geoffrey",Katonai anekdoták : tanulságos és kacagtató történetek a hadviselés világából,E-003577,3890684,9.78963E+12,2013.09.25,2008,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Pistorius, Martin",Néma üvöltés,E-003633,3891155,9.78963E+12,2013.09.25,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Bagdy Emõke,Utak önmagunkhoz,E-003830,3891735,9.78616E+12,2013.09.25,2012,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Ahern, Cecelia",Utóirat: Szeretlek,E-003863,3892145,9.78963E+12,2013.09.25,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Roberts, Nora",A tanú,E-003886,3894279,9.78964E+12,2013.09.30,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Ulickaja, Ljudmila",Szonyecska,E-003961,3893142,9.78963E+12,2013.09.25,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Joyce, Brenda",Az ellopott menyasszony,E-004183,3895719,9.78964E+12,2013.09.30,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Leiner Laura,Bábel,E-004423,3863909,9.78964E+12,2013.10.02,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Somogyváry Gyula,És mégis élünk,E-004447,3897720,9.78964E+12,2013.10.04,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Leiner Laura,A Szent Johanna gimi 8. : Örökké,E-004675,3898239,9.78964E+12,2013.10.04,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Leiner Laura,A Szent Johanna gimi 8. : Örökké,E-004676,3898147,9.78964E+12,2013.10.04,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Fábián Janka,Lotti öröksége,E-004912,3902134,9.78963E+12,2013.10.10,2012,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Werner Krisztina,Megérintõ szavak : válogatás a XII. Gyõri Könyvszalon beszélgetéseibõl,E-005082,3903131,9.78964E+12,2013.10.10,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Fábián György,Mária-fegyver,E-007163,3925133,9.78616E+12,2013.10.31,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Bertényi Iván,Gyõr-Moson-Sopron megye településeinek címerei és zászlai : Magyarország önigazgatási jelképeit bemutató kézikönyvek,E-007547,3933565,9.78964E+12,2013.11.08,2013,Akvirál '96 Kft.,könyv,???
Frei Tamás,2015 : a káosz éve és a magyar elit háborúja,E-007622,3908440,9.78963E+12,2013.11.06,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Garcia, Emma",Szerelem elsõ kattintásra,E-008185,3925911,9.78963E+12,2013.12.17,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Stilton, Geronimo",A Tenebrax család titka,E-008213,3926192,9.78963E+12,2013.12.17,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Täubner, Armin",Hópelyhek papírból,E-008356,3927540,9.78963E+12,2013.12.17,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Dreisbach, Jens",Európa futballnemzetei,E-008405,3928035,9.78963E+12,2013.12.17,2012,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Grecsó Krisztián,Pletykaanyu,E-009553,3937150,9.78963E+12,2013.12.06,2006,Bookline,könyv,???
"Verhoef, Esther",Macskák enciklopédiája,E-010285,3972236,9.78963E+12,2013.12.13,2010,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Verhoef, Esther",Kutyák enciklopédiája,E-010361,3972731,9.78963E+12,2013.12.13,2010,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Young, Robyn","Felkelés : vér, csata és árulás Robert Bruce epikus története",E-010411,3967157,9.78963E+12,2013.12.12,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Sendker, Jan-Philipp","Szívszelídítõ, avagy  A szeretet, a megbocsátás és a szabadság ereje",E-010499,3973431,9.78616E+12,2013.12.12,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Baker, Jo",Longbourn árnyékában,E-010602,3974131,9.78964E+12,2013.12.12,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Gutjahr, Axel","Növénygondozás hatékonyan : a legjobb tippek kártevõk, betegségek és gyomok ellen",E-010620,3947937,9.78963E+12,2013.12.12,2012,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Csigó Zita,Retro - újratöltve : 99 recept,E-010735,3948446,9.78964E+12,2013.12.12,2013,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
Sarkady Zsolt,Megtalált eredetek,E-012050,3986240,9.78963E+12,2014.02.18,2013,Benedictum Kft.,könyv,???
Laczó Balázs,Embervadászat a lõtéren  : a 2012-es soproni gyilkosságok áldozatainak emlékére,E-012137,3987216,9.78964E+12,2014.06.19,2014,Lapcom Kft.,könyv,???
Harcsás Judit,"Réteskönyv : ízek, ötletek Gyõrbõl",E-012265,3988244,9.78963E+12,2014.06.20,2014,Harcsi Kft.,könyv,???
Márai Sándor,Eszter hagyatéka,E-012647,4004479,9.78963E+12,2014.07.04,2013,Könyvtárellátó Közhasznú Társaság,könyv,???
"Charles, Nathalie",Elsõ pizsamapartim,E-012744,4004974,9.78963E+12,2014.07.04,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Stilton, Tea",A Szentjánosbogarak Klubjának gyõzelme,E-012812,4007258,9.78963E+12,2014.07.04,2011,Könyvtárellátó Közhasznú Társaság,könyv,???
Leiner Laura,Akkor szakítsunk,E-012834,4007470,9.78964E+12,2014.07.04,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Lázár Ervin,A manógyár,E-012871,4007845,9.78963E+12,2014.07.04,2013,Könyvtárellátó Közhasznú Társaság,könyv,???
Lázár Ervin,A másik télapó ; Hóban,E-012889,4008026,9.78963E+12,2014.07.04,2013,Könyvtárellátó Közhasznú Társaság,könyv,???
Korcsmáros Pál,Az arany ember,E-013262,4009436,9.78964E+12,2014.07.17,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Nyulász Péter,Beszélõ babakezek : menjünk az állatkertbe!,E-013324,4010067,9.78963E+12,2014.07.17,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Sándor Erzsi,"Szegény anyám, ha látnám",E-013364,4014485,9.78963E+12,2014.07.17,2013,Könyvtárellátó Közhasznú Társaság,könyv,???
"Morton, Kate",Távoli órák,E-013433,4014836,9.78963E+12,2014.07.17,2013,Könyvtárellátó Közhasznú Társaság,könyv,???
"Peetz, Monika",Keddi nõk,E-013449,4017448,9.78963E+12,2014.07.17,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Vázsonyi Endre,Rémusz bácsi meséi,E-013501,4015222,9.78963E+12,2014.07.17,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Korcsmáros Pál,A láthatatlan ember,E-013551,4017882,9.78964E+12,2014.07.17,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Vietmeier, Andreas",Növényvédelmi mindentudó : [99 lényegre törõ válasz],E-013670,4019237,9.78616E+12,2014.07.29,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Wagland, Paul",500 kérdés és válasz kertészkedõknek,E-013801,4020479,9.78964E+12,2014.08.06,2012,Könyvtárellátó Közhasznú Társaság,könyv,???
"Steel, Susannah",Gyógyító növények termesztése és felhasználása,E-013905,4101802,9.78963E+12,2014.08.06,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Lark, Sarah",Tûzvirágok ideje,E-014009,4006039,9.78964E+12,2014.08.06,2013,Könyvtárellátó Közhasznú Társaság,könyv,???
"Marten, Helana",A kávé illata,E-014113,4021964,9.78964E+12,2014.08.06,2012,Könyvtárellátó Közhasznú Társaság,könyv,???
Benkõ László,A spanyol grófnõ,E-014217,4010296,9.78616E+12,2014.08.06,2013,Könyvtárellátó Közhasznú Társaság,könyv,???
Nagy Bandó András,"Magyarország, én is szeretlek! : 260 vers a hazámról gyerekeknek és szülõknek",E-014374,4011330,9.78964E+12,2014.08.06,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Szabó Csilla,A Kisalföld receptjei 14.   : spájzmustra : nagy befõzõkönyv,E-014911,4103646,9.78964E+12,2014.08.25,2014,Lapcom Kft.,könyv,???
Lévay Gizella,A Kisalföld receptjei 13. : a Délvidék ízei,E-015016,4127178,9.78964E+12,2014.08.25,2014,Lapcom Kft.,könyv,???
Szabó Csilla,"A Kisalföld receptjei 11.   : Gyorsan, finomat - villámreceptek",E-015052,4102786,9.78964E+12,2014.08.25,2012,Lapcom Kft.,könyv,???
Fábián György,A Kisalföld receptjei 8. : az ünnepek ízei,E-015234,4122425,9.78964E+12,2014.08.25,2010,Lapcom Kft.,könyv,???
Szabó Csilla,A Kisalföld receptjei 9. : nagy süteményeskönyv 2.,E-015364,4128779,9.78964E+12,2014.08.25,2011,Lapcom Kft.,könyv,???
Nagykutasi Viktor,"Több mint kert : növénygondozás kertben, lakásban, balkonon",E-015444,4123460,9.78964E+12,2014.08.25,2014,Lapcom Kft.,könyv,???
Dézsi Csaba András,Gyógy-ír : A Kisalföld nagy egészségkönyve,E-015536,4129776,9.78964E+12,2014.08.25,2007,Lapcom Kft.,könyv,???
Fodor Dénes,"Sorsformáló : párkapcsolat, harmónia, család",E-015681,4124504,9.79896E+13,2014.08.25,2011,Lapcom Kft.,könyv,???
Vrábel Krisztina,"160 grammos szénhidrátdiéta : [finom falatok, lemondás nélkül]",E-015881,4131793,9.78963E+12,2014.08.06,2013,Könyvtárellátó Közhasznú Társaság,könyv,???
Janosch,"Szülinapi buli : történet arról, hogyan ünnepelték meg Kistigris szülinapját",E-016167,4109075,9.78963E+12,2014.08.22,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Janosch,"Szevasz, kismalac! : történet arról, hogy egy napon Kistigris elfelejt hazamenni",E-016200,4108795,9.78963E+12,2014.08.22,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
,Rekordok és érdekességek gyerekeknek : képes ismeretterjesztés gyerekeknek,E-016232,4126676,9.78964E+12,2014.08.29,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Quinn, Julia",Egy csók ... és minden más,E-016609,4110736,9.78964E+12,2014.08.22,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Cole, Kresley",Az álmok Sötét Harcosa,E-016860,4114895,9.78963E+12,2014.08.22,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Magyar Imre,Életem a lovakkal : történetek a lovassportba való bekapcsolódásomról,E-016963,4115816,9.78964E+12,2014.08.22,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"MacMeans, Donna",A szerelem iskolája,E-017080,4117155,9.78964E+12,2014.08.22,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Schmidt-Schell, Erich",Kibékülés az erdészházban,E-017205,4121107,9.78616E+12,2014.08.22,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Frank Júlia,Ínyenckonyha : cukorbetegeknek és fogyókúrázóknak,E-017310,4121862,9.78963E+12,2014.08.22,2010,Könyvtárellátó Közhasznú Társaság,könyv,???
"Dawn, Nyrae",A játszma,E-017414,4119210,9.78963E+12,2014.08.22,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Keyes, Marian",A Mercy Close-i rejtély,E-017624,4120018,9.78963E+12,2014.08.22,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Hámor Vilmos,"Mosolyszür(n)et 5. porciója: Szél kedvese : Vidám, búröptetõ, gondûzõ, elgondolkodtató, szíveket megérintõ történetek, morzsákok és hantapalinták...",E-017987,4090496,9.78964E+12,2014.09.16,2014,Hámor Vilmos egyéni vállalkozó,könyv,???
Posta Renáta,Paleolit fogyókúra hedonistáknak : tartós karcsúság és egészség koplalás nélkül,E-018154,4136606,9.78616E+12,2014.09.17,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Higgins, Wendy",Angyali szövetség :  [Sweet Evil trilógia 2.],E-018297,4077749,9.78963E+12,2014.09.26,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Bronson, Po",Amit rosszul tudtunk a gyerekekrõl,E-018327,4077527,9.78616E+12,2014.09.26,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
György Edit,A tudás kiskönyve : út a bölcsességhez,E-018340,4077497,9.78964E+12,2014.09.26,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Rice, Morgan",A királyok sorsa :  [A varázsló gyûrûje 2. kötet],E-018393,4134305,9.78963E+12,2014.09.26,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Gárdonyi Géza,Az ablak : novellák,E-018502,4133414,9.78963E+12,2014.09.26,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Marwood, Alex",A Sátán lányai,E-018617,4157861,9.78963E+12,2014.09.26,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Gönczöl Lászlóné,Hûséggel a katedrán : Jeles pedagógusok Gyõr-Moson-Sopron megyében 5.,E-018773,4158943,9.78964E+12,2014.09.17,2014,"""Emelj fel emlék!"" Alapítvány",könyv,???
"Marías, Javier",Beleszerelmesedések,E-019179,4183556,9.78963E+12,2014.10.20,2012,Könyvtárellátó Közhasznú Társaság,könyv,???
"Palahniuk, Chuck",Halálraítélt,E-019194,4183501,9.78963E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Yanping, Xue",21 gramm szerelem,E-019215,4184058,9.78963E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Csapody Kinga,Tesó lettem! avagy  Miért és mire jó egy kistesó,E-019344,4156642,9.78616E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Morán, José",Jobb késõbb mint soha! : a nyuszi és az õszinteség,E-019361,4155928,9.78964E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Kácsor Zoltán, M.",Az ármányos Bobcat,E-019403,4154600,9.78963E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Kácsor Zoltán, M.",Az óvodakerülõ úthenger,E-019463,4154839,9.78963E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Travers, Pamela Lyndon",A csudálatos Mary Poppins (hangoskönyv),E-019627,4153887,9.78963E+12,2014.11.12,2014,Könyvtárellátó Közhasznú Társaság,hangoskönyv,???
"Berry, Steve",A Kolumbusz-affér,E-019874,4172871,9.78963E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Böszörményi Gyula,"Lúzer Rádió, Kehida! 4. : az angyalrablás hadmûvelet",E-019908,4173120,9.78963E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Isaac, Dawn",101 ötletes játék gyerekeknek a szabadban,E-020178,4177388,9.78963E+12,2014.11.19,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Molnár Sándor,Mesélnek a fák,E-020209,4177166,9.78964E+12,2014.11.11,2012,Könyvtárellátó Közhasznú Társaság,könyv,???
Benkõ László,Viharlovasok : a vér törvénye,E-020222,4175209,9.78963E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Czifra Éva,1 hónap alatt németül,E-020241,4177722,9.78964E+12,2014.11.19,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Benkõ László,Viharlovasok : aranyasszony : történelmi regény a kalandozások korából,E-020282,4175629,9.78963E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Benkõ László,Viharlovasok : a táltos fia : történelmi regény a kalandozások korának elsõ évtizedébõl,E-020301,4175810,9.78963E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Randol, Anna",Titkos csók,E-020445,4176770,9.78964E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Dale, Elizabeth",Hercegnõ a barátnõm : [minden kislányban lakozik egy hercegnõ!],E-020513,4167358,9.78963E+12,2014.11.07,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Falconer, Colin",Anasztázia,E-020537,4167594,9.78964E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Bartos Erika,Õrangyal : mesék az elfogadásról,E-020594,4168164,9.78964E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Lindgren, Barbro","Segítség, elvesztem!",E-020705,4169277,9.78964E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Christie, Agatha",Az elefántok mindenre emlékeznek,E-020730,4178309,9.78963E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Rattaro, Sara",Tökéletlen szerelem,E-020829,4169680,9.78963E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"VanderMeer, Jeff",Expedíció : [Déli végek trilógia 1.],E-020903,4170068,9.78616E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"VanderMeer, Jeff",Fantomfény : [Déli Végek-trilógia 3.],E-020921,4170198,9.78616E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"VanderMeer, Jeff",Kontroll : [Déli Végek-trilógia 2.],E-020935,4170334,9.78616E+12,2014.10.20,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Lanczendorfer Zsuzsanna,Dalmadarak : Lanczendorfer Zsuzsanna  szeretett dalai,E-021564,4180531,,2014.12.09,2014,Lanczendorfer Zsuzsanna,CD (hangzó),???
"Görres, Ida Friederike",Házasság és magány : gondolatok négy levélben,E-021706,4180937,9.78964E+12,2014.11.11,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Leckie, Ann",Mellékes igazság,E-021713,4180982,9.78964E+12,2014.11.12,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Schäffer Erzsébet,Egyszer elmesélem (hangoskönyv),E-021715,4179832,9.78963E+12,2014.11.12,2014,Könyvtárellátó Közhasznú Társaság,hangoskönyv,???
Perlai Rezsõné,Az óvodáskor fejlesztõjátékai,E-021802,4180272,9.78616E+12,2014.11.11,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Bignotti, Francesca",Afrikai állatok,E-021803,4180289,9.78964E+12,2014.11.11,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Dale, Elizabeth",Álomtündér a barátnõm,E-021811,4181644,9.78963E+12,2014.11.11,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Clergeau, Charlotte",A lovam és én,E-021932,4181996,9.78963E+12,2014.11.11,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Lagercrantz, Rose",Az én boldog életem,E-022179,4149170,9.78964E+12,2014.12.18,2014,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Bergamino, Donatella",Fedezd fel a mesterségek világát!,E-022625,4100065,9.78616E+12,2014.11.11,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
"Penny, Louise",Csendélet,E-022664,4151401,9.78963E+12,2014.12.16,2014,Pécsi Direkt KFT. Alexandra Könyvesbolt,könyv,???
"Schmitt, Gudrun",Erdei állatok papírból,E-022682,4100447,9.78963E+12,2014.11.07,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
Perlai Rezsõné,Matematikai játékok óvodáskorban,E-022960,4162254,9.78964E+12,2014.11.12,2014,Könyvtárellátó Közhasznú Társaság,könyv,???
