szerzõ,cím,leltári szám,vonalkód,ISBN szám,beszerzési dátum,kiadási év,szállító,dokumentum típus,statisztikai besorolás
"Bürger, Gottfried August",Münchausen kalandjai,2-003346,2872100,963026871X,    .  .  ,1989,???,könyv,???
,A bohóc köszöntõje,2-003347,2873565,9631151824,    .  .  ,1986,???,könyv,???
"Collodi, Carlo",Pinokkió kalandjai,2-003349,2872919,9631139484,    .  .  ,1985,???,könyv,???
Csernai Zoltán,Farkaskölykök és vízipockok,2-003350,2854397,9631137503,    .  .  ,1985,???,könyv,???
Csonkaréti Károly,A Levante hajóraj magyar tengerésze,2-003351,2854410,9631152219,    .  .  ,1987,???,könyv,???
Csukás István,Kalandozás Betûországban,2-003352,2872810,9637509003,    .  .  ,1990,???,könyv,???
Csukás István,Pom Pom meséi (8. köt.) Óriástüdejû levegõfújó,2-003353,2873510,963112763X,    .  .  ,1985,???,könyv,???
Csoóri Sándor,Lábon járó verõfény,2-003355,2869919,9631145522,    .  .  ,1987,???,könyv,???
"Dahl, Roald",Matilda három csodája,2-003356,2873220,9637943021,    .  .  ,1991,???,könyv,???
Dániel Anna,Margot királyné gobelinjei,2-003357,2854618,9631136949,    .  .  ,1984,???,könyv,???
Dániel Anna,Széllovasok,2-003358,2854595,9631154769,    .  .  ,1988,???,könyv,???
"Dahl, Roald",Szofi és Habó,2-003359,2873176,9631166279,    .  .  ,1990,???,könyv,???
"Dahl, Roald","Danny, a szupersrác",2-003360,2854557,9631143287,    .  .  ,1985,???,könyv,???
Dékány Kálmán,Tolvajkulcs,2-003361,2854878,9631134962,    .  .  ,1984,???,könyv,???
Dér Zoltán,Örvénysodró,2-003362,2854908,9631151689,    .  .  ,1987,???,könyv,???
"Disney, Walt",Hófehérke az elvarázsolt rengetegben,2-003363,2873312,9631166031,    .  .  ,1989,???,könyv,???
Döbrentei Kornél,Tiszóka,2-003365,2853468,963114450X,    .  .  ,1986,???,könyv,???
Csonkaréti Károly,A Zenta cirkálóval kezdõdött,2-003366,2873466,9631139077,    .  .  ,1986,???,könyv,???
,Garabó Gereben : Debreczeni Gyöngyi és Ottlik Géza meseátdolgozásai,2-003367,2871073,9631128083,    .  .  ,1983,???,könyv,???
Fekete István,Derengõ hajnal,2-003369,2854144,9632331419,    .  .  ,1989,???,könyv,???
Fekete István,Erdei utakon,2-003371,2854137,9632324323,    .  .  ,1987,???,könyv,???
Fekete Gyula,Esztendõre vagy kettõre,2-003373,2854304,9631152901,    .  .  ,1987,???,könyv,???
Fodor Sándor,Csipike és a Gonosz Ostoba : A végsõ megpróbáltatás meséje,2-003374,2872087,9637865233,    .  .  ,1990,???,könyv,???
Dömötör Ákos,Fótonfót király,2-003375,2870939,9631141632,    .  .  ,1985,???,könyv,???
Gyárfás Endre,Tücsökkaland,2-003377,2871783,9631137376,    .  .  ,1985,???,könyv,???
